iter	RMSE
0	1.020923998
1	1.014842598
2	1.008909363
3	1.002934412
4	0.9973712743
5	0.9913797511
6	0.9857091474
7	0.980035533
8	0.9744886973
9	0.9693648453
10	0.9638485854
11	0.9584029489
12	0.9534193143
13	0.9482520125
14	0.9431810873
15	0.9380858811
16	0.9333703517
17	0.9287093494
18	0.924101811
19	0.9194358787
20	0.9147213337
21	0.9103898568
22	0.905949122
23	0.9017391542
24	0.8971848287
25	0.8928834834
26	0.8887933106
27	0.8848333085
28	0.8808585019
29	0.8769557378
30	0.8730129594
31	0.869095553
32	0.8653211082
33	0.8617326752
34	0.8581535287
35	0.8545745046
36	0.8508606124
37	0.847270579
38	0.8438196012
39	0.8403253796
40	0.836808883
41	0.8337433901
42	0.8307115232
43	0.8273975185
44	0.8241840873
45	0.8208682005
46	0.8182401523
47	0.8151863761
48	0.8121403578
49	0.8093673012
50	0.806303783
51	0.8034963008
52	0.8006474098
53	0.7978531795
54	0.7953764951
55	0.7926578816
56	0.7899185787
57	0.7873585952
58	0.7846977122
59	0.7820806828
60	0.7797563869
61	0.7771587331
62	0.7747006413
63	0.7723646661
64	0.7699777041
65	0.7676951933
66	0.7652408117
67	0.7629204643
68	0.7607651401
69	0.7583590844
70	0.7561947064
71	0.7539903154
72	0.7517870996
73	0.7498540055
74	0.7478672911
75	0.7459337951
76	0.7439339963
77	0.742183158
78	0.7404695925
79	0.7382734579
80	0.736518549
81	0.7346528443
82	0.7328927365
83	0.7308709283
84	0.7289581667
85	0.7271206754
86	0.7255008318
87	0.7237581405
88	0.7219003594
89	0.7203151012
90	0.7187173019
91	0.7170864466
92	0.7155180944
93	0.7139668806
94	0.7124238393
95	0.7110150248
96	0.7094797447
97	0.7079056722
98	0.7063953853
99	0.7049486616
100	0.7034543455
101	0.7020793515
102	0.7006393181
103	0.6992096499
104	0.6978663465
105	0.6965595997
106	0.6951813259
107	0.6941801852
108	0.6928808229
109	0.6916343766
110	0.6903828038
111	0.6893308256
112	0.6881995205
113	0.6872009032
114	0.6861443653
115	0.6850424465
116	0.684030607
117	0.6829055226
118	0.6819411094
119	0.6808152338
120	0.6797285508
121	0.6787595889
122	0.6778054569
123	0.676769756
124	0.6758287726
125	0.6748269002
126	0.6739758773
127	0.673000782
128	0.6720050102
129	0.6711544411
130	0.6703008381
131	0.6694208104
132	0.6685183928
133	0.6677338805
134	0.6670834256
135	0.6662684504
136	0.6654052488
137	0.6645260967
138	0.6637294839
139	0.6629040285
140	0.6621638193
141	0.6613586404
142	0.6606231941
143	0.6598266395
144	0.6591220608
145	0.6583400594
146	0.6576980712
147	0.6569225826
148	0.6562287904
149	0.6555281963
150	0.6547506421
151	0.6540400526
152	0.6533887242
153	0.6526936466
154	0.6521600352
155	0.6515281643
156	0.6509413376
157	0.6503546902
158	0.6497866783
159	0.6492452786
160	0.6486735652
161	0.6481632964
162	0.647571496
163	0.6470336568
164	0.6465168316
165	0.6460198732
166	0.6455718697
167	0.6450194823
168	0.6445117476
169	0.6439950076
170	0.6435400429
171	0.643074754
172	0.6426330283
173	0.6421355293
174	0.6416645693
175	0.6411445374
176	0.6406656313
177	0.6401793482
178	0.6396827673
179	0.6391561677
180	0.6386573942
181	0.6381996817
182	0.6377468793
183	0.637350182
184	0.6368543306
185	0.636403631
186	0.6358605901
187	0.6355174924
188	0.6350902252
189	0.634706776
190	0.6342333998
191	0.6337979207
192	0.6333314437
193	0.6329907232
194	0.6325986412
195	0.6321442986
196	0.6317195532
197	0.6312901971
198	0.6308754253
199	0.6304801041
200	0.630088131
201	0.6296792932
202	0.6292966428
203	0.6290016756
204	0.6286518643
205	0.6282947016
206	0.6279627743
207	0.6276820517
208	0.627272409
209	0.6269106394
